date,count
2012-09-10,7
2013-01-30,13
2013-05-08,47
2013-05-16,14
2013-10-02,48
2013-12-27,16
2014-02-13,4
2014-08-02,9
2014-10-15,15
2015-04-22,7
2015-08-17,6
2016-03-16,6
2016-04-13,42
2016-04-25,7
2016-07-16,1
2016-07-18,3
2016-07-20,35
2016-12-16,8
2017-04-14,1
2017-06-07,27
2017-06-23,31
2017-09-03,2
